C,meme,SR,MBF,AES,mu,gens,k,depth,maxS,runs
50,true,0.0,0.39785945,0.0,25,100,6,4,150,100
50,true,0.0,0.26230636,0.0,25,100,6,4,200,100
50,true,11.0,0.8170019,28718.182,25,100,6,5,10,100
50,true,0.0,0.63133395,0.0,25,100,6,5,50,100
50,true,0.0,0.5360364,0.0,25,100,6,5,100,100
50,true,0.0,0.39409316,0.0,25,100,6,5,150,100
50,true,0.0,0.26488736,0.0,25,100,6,5,200,100
50,true,1.0,0.7647565,8500.0,25,100,8,1,10,100
50,true,0.0,0.6263682,0.0,25,100,8,1,50,100
50,true,0.0,0.5108197,0.0,25,100,8,1,100,100
50,true,0.0,0.3907348,0.0,25,100,8,1,150,100
50,true,0.0,0.32450575,0.0,25,100,8,1,200,100
50,true,34.0,0.90435696,15670.588,25,100,8,2,10,100
50,true,0.0,0.69414467,0.0,25,100,8,2,50,100
50,true,0.0,0.62220025,0.0,25,100,8,2,100,100
50,true,0.0,0.50629544,0.0,25,100,8,2,150,100
50,true,0.0,0.40256134,0.0,25,100,8,2,200,100
50,true,66.0,0.95462555,20100.0,25,100,8,3,10,100
50,true,0.0,0.73341346,0.0,25,100,8,3,50,100
50,true,0.0,0.659482,0.0,25,100,8,3,100,100
50,true,0.0,0.57991993,0.0,25,100,8,3,150,100
50,true,0.0,0.467436,0.0,25,100,8,3,200,100
50,true,79.0,0.9736812,22830.379,25,100,8,4,10,100
50,true,2.0,0.7422432,31350.0,25,100,8,4,50,100
50,true,1.0,0.6670625,36600.0,25,100,8,4,100,100
50,true,0.0,0.612435,0.0,25,100,8,4,150,100
50,true,0.0,0.5303049,0.0,25,100,8,4,200,100
50,true,84.0,0.9819024,24035.715,25,100,8,5,10,100
50,true,7.0,0.7641595,39357.145,25,100,8,5,50,100
50,true,1.0,0.686038,36600.0,25,100,8,5,100,100
50,true,0.0,0.6321965,0.0,25,100,8,5,150,100
50,true,0.0,0.542996,0.0,25,100,8,5,200,100
50,true,14.0,0.82126546,10794.643,25,100,10,1,10,100
50,true,0.0,0.68793964,0.0,25,100,10,1,50,100
50,true,0.0,0.5730388,0.0,25,100,10,1,100,100
50,true,0.0,0.52069294,0.0,25,100,10,1,150,100
50,true,0.0,0.41631976,0.0,25,100,10,1,200,100
50,true,78.0,0.98301077,16182.692,25,100,10,2,10,100
50,true,9.0,0.77642804,19972.223,25,100,10,2,50,100
50,true,1.0,0.6882962,21500.0,25,100,10,2,100,100
50,true,0.0,0.6555565,0.0,25,100,10,2,150,100
50,true,0.0,0.5954133,0.0,25,100,10,2,200,100
50,true,98.0,0.9983664,19223.215,25,100,10,3,10,100
50,true,22.0,0.82556134,26755.682,25,100,10,3,50,100
50,true,5.0,0.71338874,27600.0,25,100,10,3,100,100
50,true,1.0,0.7016297,33125.0,25,100,10,3,150,100
50,true,1.0,0.670491,29000.0,25,100,10,3,200,100
50,true,100.0,1.0,19675.0,25,100,10,4,10,100
50,true,31.0,0.87202877,31741.936,25,100,10,4,50,100
50,true,8.0,0.7478234,32921.875,25,100,10,4,100,100
50,true,3.0,0.74262303,39208.332,25,100,10,4,150,100
50,true,2.0,0.6951826,39312.5,25,100,10,4,200,100
50,true,100.0,1.0,19675.0,25,100,10,5,10,100
50,true,38.0,0.9019551,35661.184,25,100,10,5,50,100
50,true,12.0,0.7607698,40312.5,25,100,10,5,100,100
50,true,5.0,0.7563724,46125.0,25,100,10,5,150,100
50,true,5.0,0.73121333,50575.0,25,100,10,5,200,100
100,false,0.0,0.38440838,0.0,50,150,1,0,0,100
100,false,0.0,0.30441257,0.0,50,150,2,0,0,100
100,false,0.0,0.23886327,0.0,50,150,3,0,0,100
100,false,0.0,0.18995543,0.0,50,150,4,0,0,100
100,false,0.0,0.15933327,0.0,50,150,5,0,0,100
100,false,0.0,0.5038373,0.0,50,300,1,0,0,100
100,false,0.0,0.38000992,0.0,50,300,2,0,0,100
100,false,0.0,0.2832822,0.0,50,300,3,0,0,100
100,false,0.0,0.21745588,0.0,50,300,4,0,0,100
100,false,0.0,0.17195606,0.0,50,300,5,0,0,100
100,false,0.0,0.51468265,0.0,50,450,1,0,0,100
100,false,0.0,0.3918861,0.0,50,450,2,0,0,100
100,false,0.0,0.29036656,0.0,50,450,3,0,0,100
100,false,0.0,0.21912856,0.0,50,450,4,0,0,100
100,false,0.0,0.17183171,0.0,50,450,5,0,0,100
100,false,0.0,0.51784617,0.0,50,600,1,0,0,100
100,false,0.0,0.3937419,0.0,50,600,2,0,0,100
100,false,0.0,0.29810914,0.0,50,600,3,0,0,100
100,false,0.0,0.21887226,0.0,50,600,4,0,0,100
100,false,0.0,0.1701136,0.0,50,600,5,0,0,100
100,false,0.0,0.52256674,0.0,50,750,1,0,0,100
100,false,0.0,0.38921207,0.0,50,750,2,0,0,100
