C,meme,SR,MBF,AES,mu,gens,k,depth,maxS,runs,t
100,false,8.0,0.90335023,109425.0,200,750,2,0,0,100,82.99467
100,false,1.0,0.7399386,61800.0,200,750,3,0,0,100,81.30055
100,false,0.0,0.6741997,0.0,200,750,4,0,0,100,70.87783
100,false,0.0,0.62246346,0.0,200,750,5,0,0,100,59.133358
100,false,0.0,0.68344814,0.0,250,150,1,0,0,100,11.293267
100,false,0.0,0.6498639,0.0,250,150,2,0,0,100,12.69866
100,false,0.0,0.61087716,0.0,250,150,3,0,0,100,13.363374
100,false,0.0,0.53829443,0.0,250,150,4,0,0,100,13.502211
100,false,0.0,0.50431967,0.0,250,150,5,0,0,100,26.988268
100,false,80.0,0.9712073,58928.125,250,300,1,0,0,100,32.145153
100,false,17.0,0.87429756,65088.234,250,300,2,0,0,100,41.931973
100,false,1.0,0.72289824,64250.0,250,300,3,0,0,100,41.90685
100,false,1.0,0.63506085,66500.0,250,300,4,0,0,100,41.61995
100,false,0.0,0.6419829,0.0,250,300,5,0,0,100,36.750423
100,false,100.0,1.0,64765.0,250,450,1,0,0,100,25.113026
100,false,46.0,0.9603635,83331.52,250,450,2,0,0,100,57.87905
100,false,5.0,0.7804112,88700.0,250,450,3,0,0,100,64.7445
100,false,2.0,0.64665306,80125.0,250,450,4,0,0,100,62.348495
100,false,0.0,0.6540544,0.0,250,450,5,0,0,100,53.672783
100,false,100.0,1.0,64765.0,250,600,1,0,0,100,23.10672
100,false,64.0,0.9784592,95964.84,250,600,2,0,0,100,37.42316
100,false,12.0,0.8528072,114979.164,250,600,3,0,0,100,47.46443
100,false,2.0,0.66481256,80125.0,250,600,4,0,0,100,94.48851
100,false,0.0,0.6578641,0.0,250,600,5,0,0,100,85.04747
100,false,100.0,1.0,64765.0,250,750,1,0,0,100,25.848576
100,false,82.0,0.98925686,111442.07,250,750,2,0,0,100,51.340076
100,false,17.0,0.88599795,127852.94,250,750,3,0,0,100,60.44096
100,false,3.0,0.67948747,115333.336,250,750,4,0,0,100,59.880302
100,false,0.0,0.66447496,0.0,250,750,5,0,0,100,56.923664
100,true,100.0,1.0,1.341064e6,200,600,1,3,100,100,104.51305
100,true,100.0,1.0,1.392675e6,200,600,2,3,100,100,113.01809
100,true,100.0,1.0,1.341064e6,200,750,1,3,100,100,110.8706
100,true,100.0,1.0,1.392675e6,200,750,2,3,100,100,115.35318
100,true,100.0,1.0,1.5019231e6,250,600,1,3,100,100,119.18068
100,true,100.0,1.0,1.5974659e6,250,600,2,3,100,100,124.7018
100,true,100.0,1.0,1.5019231e6,250,750,1,3,100,100,116.87531
100,true,100.0,1.0,1.5974659e6,250,750,2,3,100,100,123.28502
100,false,1.1554014e36,1.1554014e36,4.0e-45,250,750,2,0,0,100,0.4,4.0e-45
100,false,0.0,0.0,0.0,250,750,2,0,0,100,0.6,0.0
100,false,1.2641836e36,1.2641836e36,4.5e-44,250,750,2,0,0,100,0.8,4.5e-44
100,false,0.0,0.0,0.0,250,750,2,0,0,100,1.0,0.0
100,false,1.2686964e36,1.2686964e36,4.24745e7,250,750,4,0,0,100,0.4,4.24745e7
100,false,0.0,0.0,4.591e-41,250,750,4,0,0,100,0.6,4.591e-41
100,false,1.2693657e36,1.2693657e36,1.4e-43,250,750,4,0,0,100,0.8,1.4e-43
100,false,0.0,0.0,0.0,250,750,4,0,0,100,1.0,0.0
100,false,1.1569961e36,1.1569961e36,1.401e-42,250,750,6,0,0,100,0.4,1.401e-42
100,false,0.0,0.0,0.0,250,750,6,0,0,100,0.6,0.0
100,false,1.1569999e36,1.1569999e36,3.5e-43,250,750,6,0,0,100,0.8,3.5e-43
100,false,0.0,0.0,0.0,250,750,6,0,0,100,1.0,0.0
100,false,1.1570037e36,1.1570037e36,2.8e-44,250,750,8,0,0,100,0.4,2.8e-44
100,false,0.0,0.0,0.0,250,750,8,0,0,100,0.6,0.0
100,false,1.2693201e36,1.2693201e36,4.0e-45,250,750,8,0,0,100,0.8,4.0e-45
100,false,0.0,0.0,0.0,250,750,8,0,0,100,1.0,0.0
100,false,1.2693252e36,1.2693252e36,4.5e-44,250,750,10,0,0,100,0.4,4.5e-44
100,false,0.0,0.0,0.0,250,750,10,0,0,100,0.6,0.0
100,false,1.2693302e36,1.2693302e36,6.0e-45,250,750,10,0,0,100,0.8,6.0e-45
100,false,0.0,0.0,0.0,250,750,10,0,0,100,1.0,0.0
